Шаг dt Diff_x Diff_y Diff_z
0 0.0 0.0 5.854691731421724e-18 5.551115123125783e-17
1 0.001 0.0 1.0842021724855044e-17 1.1102230246251565e-16
2 0.002 0.0 1.5612511283791264e-17 1.1102230246251565e-16
3 0.003 0.0 1.9949319973733282e-17 1.1102230246251565e-16
4 0.004 0.0 2.42861286636753e-17 0.0
5 0.005 0.0 2.7755575615628914e-17 5.551115123125783e-17
6 0.006 0.0 2.949029909160572e-17 1.1102230246251565e-16
7 0.007 0.0 3.9898639947466563e-17 1.1102230246251565e-16
8 0.008 0.0 3.9898639947466563e-17 1.1102230246251565e-16
9 0.009000000000000001 0.0 3.9898639947466563e-17 1.1102230246251565e-16
10 0.01 0.0 5.204170427930421e-17 1.1102230246251565e-16
11 0.011 0.0 5.204170427930421e-17 0.0
12 0.012 -8.881784197001252e-16 6.245004513516506e-17 1.1102230246251565e-16
13 0.013 0.0 6.938893903907228e-17 0.0
14 0.01400000000000001 0.0 7.979727989493313e-17 0.0
15 0.01500000000000001 0.0 7.979727989493313e-17 0.0
16 0.01600000000000001 -8.881784197001252e-16 9.020562075079397e-17 0.0
17 0.01700000000000001 -1.1102230246251565e-15 9.020562075079397e-17 0.0
18 0.01800000000000001 -8.881784197001252e-16 9.020562075079397e-17 -5.551115123125783e-17
19 0.01900000000000001 -1.1102230246251565e-15 1.0061396160665481e-16 0.0
20 0.02000000000000001 -1.1102230246251565e-15 1.0061396160665481e-16 -5.551115123125783e-17
21 0.02100000000000001 0.0 1.1102230246251565e-16 -1.1102230246251565e-16
22 0.02200000000000001 0.0 1.3183898417423734e-16 0.0
23 0.02300000000000001 0.0 1.3183898417423734e-16 0.0
24 0.02400000000000001 -1.1102230246251565e-15 1.3877787807814457e-16 -1.1102230246251565e-16
25 0.02500000000000002 -1.9984014443252818e-15 1.5265566588595902e-16 0.0
26 0.02600000000000002 -1.1102230246251565e-15 1.457167719820518e-16 -1.1102230246251565e-16
27 0.02700000000000002 -1.9984014443252818e-15 1.5959455978986625e-16 0.0
28 0.02800000000000002 -8.881784197001252e-16 1.6653345369377348e-16 -1.1102230246251565e-16
29 0.02900000000000002 -1.9984014443252818e-15 1.734723475976807e-16 -1.1102230246251565e-16
30 0.03000000000000002 -1.9984014443252818e-15 1.8041124150158794e-16 -1.1102230246251565e-16
31 0.03100000000000002 -1.9984014443252818e-15 2.0122792321330962e-16 -5.551115123125783e-17
32 0.03200000000000002 -1.9984014443252818e-15 1.942890293094024e-16 -5.551115123125783e-17
33 0.03300000000000002 -1.9984014443252818e-15 2.0122792321330962e-16 -1.1102230246251565e-16
34 0.03400000000000002 -1.1102230246251565e-15 2.0816681711721685e-16 -1.1102230246251565e-16
35 0.03500000000000002 -1.9984014443252818e-15 2.220446049250313e-16 -5.551115123125783e-17
36 0.03600000000000003 -1.9984014443252818e-15 2.2898349882893854e-16 -1.1102230246251565e-16
37 0.03700000000000003 -1.1102230246251565e-15 2.3592239273284576e-16 0.0
38 0.03800000000000003 -8.881784197001252e-16 2.42861286636753e-16 0.0
39 0.03900000000000003 -1.1102230246251565e-15 2.498001805406602e-16 -1.1102230246251565e-16
40 0.04000000000000003 -1.9984014443252818e-15 2.5673907444456745e-16 -1.1102230246251565e-16
41 0.04100000000000003 -1.9984014443252818e-15 2.636779683484747e-16 0.0
42 0.04200000000000003 -1.9984014443252818e-15 2.706168622523819e-16 -1.1102230246251565e-16
43 0.04300000000000003 -1.9984014443252818e-15 2.7755575615628914e-16 -1.1102230246251565e-16
44 0.04400000000000003 -1.9984014443252818e-15 2.914335439641036e-16 -1.1102230246251565e-16
