Шаг dt Diff_x Diff_y Diff_z
0 0.0 0.09398381496861385 0.13462479028403604 0.10365638947640476
1 0.001 0.20587438867766306 0.23231813710454582 0.1942511775544591
2 0.002 0.339007785798102 0.2752113532237806 0.2689705006139816
3 0.003 0.49386764040407805 0.23711349601840007 0.3263538240917624
4 0.004 0.659270136589859 0.08354125761436616 0.3661439116551019
5 0.005 0.7992277740709359 -0.21358118285171018 0.3887961405544159
6 0.006 0.85674723233456 -0.6365652720757068 0.39479509419931114
7 0.007 0.8025902078831171 -1.1005446602991489 0.3839329336239141
8 0.008 0.67207207933627 -1.5134172247051592 0.354651347037824
9 0.009000000000000001 0.522042061086492 -1.8384142789297089 0.3035215946773956
10 0.01 0.38418799891475297 -2.079371154374152 0.22510244341093605
11 0.011 0.26420460256169487 -2.2466415825210784 0.11283628738642387
12 0.012 0.15587881215690813 -2.344389920553439 -0.03791601623332913
13 0.013 0.05078711723163609 -2.372784530041028 -0.22406602022421773
14 0.01400000000000001 -0.056573263294004805 -2.3353350476842287 -0.42857741269308514
15 0.01500000000000001 -0.16637163383899367 -2.245152993295607 -0.6206393244205624
16 0.01600000000000001 -0.27382687329516964 -2.1248082014375083 -0.7670919360033399
17 0.01700000000000001 -0.372066058291482 -1.999138270212877 -0.8480159731246651
18 0.01800000000000001 -0.455289294627075 -1.8869745038058099 -0.8631845865895074
19 0.01900000000000001 -0.520242917617902 -1.7976367661014219 -0.8265613500270119
20 0.02000000000000001 -0.5660064523856614 -1.7323702956689555 -0.7568620593848621
21 0.02100000000000001 -0.5931821165189235 -1.6876477628256412 -0.6709989636461352
22 0.02200000000000001 -0.6032400951656488 -1.658025626334091 -0.5815425398598872
23 0.02300000000000001 -0.5981714028844579 -1.6378996978304468 -0.4966394723272755
24 0.02400000000000001 -0.580326569708097 -1.622354131163122 -0.42087521461383504
25 0.02500000000000002 -0.5523008623947998 -1.6074583925617336 -0.35628427271323165
26 0.02600000000000002 -0.5167914885060141 -1.590278181210971 -0.3032109593208815
